Type;SKU;Name;Published;Visibility in catalog;In stock?;Backorders allowed?;Price;Stock;Categories;Attribute 1 Name;Attribute 1 Value(s);Attribute 2 Name;Attribute 2 Value(s);Attribute 3 Name;Attribute 3 Value(s);Attribute 4 Name;Attribute 4 Value(s);Attribute 5 Name;Attribute 5 Value(s)
SIMPLE;LP-2205;ABANICO  DE PISO LA PRIMAVERA PEQUEÑO;0;visible;1;notify;14;2;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;VSP-1801;ABANICO  DE PISO STAR PLUS GRANDE;0;visible;1;notify;48;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;FN-40T02WR;ABANICO  DE TORRE SANKEY ;0;visible;1;notify;65;5;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;LP-2203;ABANICO ASTAR ;0;visible;1;notify;14;2;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;ABE56TECHO;ABANICO PARA TECHO ERICKSON ;0;visible;1;notify;48;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;HYDRA;ALACEDORA Y RIZADORA DE CABELLO HYDRA TAURUS;0;visible;1;notify;25;4;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
VARIABLE;700-073903;ALFOMBRA HOME LIVING ;0;visible;1;notify;68;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
VARIABLE;700-29307;ALFOMBRA ;0;visible;1;notify;5;30;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
VARIABLE;700-072846;ALFOMBRA  120X180;0;visible;1;notify;45;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
VARIABLE;700-067436;ALFOMBRA 100X150;0;visible;1;notify;72;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
VARIABLE;964-90128607;ALFOMBRA DE PVC MAX MOTOR ;0;visible;1;notify;56;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
VARIABLE;700-072750;ALFOMBRA DE TELA  120X180;0;visible;1;notify;45;2;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
VARIABLE;700-MOD;ALFOMBRA DE TELA  200X300;0;visible;1;notify;86;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
VARIABLE;700-072862;ALFOMBRA PELUDA HOME LIVING 160X230 CM;0;visible;1;notify;68;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;002145;ALMOHADA REGAL ;0;visible;1;notify;6.5;2;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;HZ-1150;ANDARIBEL  AZUL PARA NIÑO ;0;visible;1;notify;68;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;677-10844;ANDARIBEL VERDE PARA NIÑO ;0;visible;1;notify;55;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;718-68617;ARBOL ARTIFICIAL DECORE;0;visible;1;notify;68;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;718-90136243;ARBOL ARTIFICIAL DECORE;0;visible;1;notify;135;2;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;856-90125224;ARCHIVADOR 2 GAVETAS ;0;visible;1;notify;185;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;856-90133153;ARCHIVADOR 3 GAVETAS COLOR NEGRO 1 NEGRO 1 GRIS ;0;visible;1;notify;225;2;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;856-90125239;ARCHIVADOR METALICO DE 10 PUERTAS ;0;visible;1;notify;350;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;856-90125226;ARCHIVADOR METALICO DE 3 GAVETAS;0;visible;1;notify;215;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;856-90125244;ARCHIVADOR METALICO DE 3 PUERTAS BEIGE ;0;visible;1;notify;145;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;856-90133154;ARCHIVADOR METALICO DE 4 GAVETAS COLOR NEGRO;0;visible;1;notify;268;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;856-90125245;ARCHIVADOR METALICO DE 5 PUERTAS COLOR GRIS ;0;visible;1;notify;185;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;856-901252456;ARCHIVADOR METALICO DE 5 PUERTAS COLOR GRIS ;0;visible;1;notify;185;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;856-90125257;ARCHIVADOR METALICO DE 6 PUERTAS COLOR GRIS ;0;visible;1;notify;395;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;856-90125241;ARCHVADOR METALICO CON UNA SOLA PUERTA;0;visible;1;notify;135;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;652831;ARROCERA DIGITAL MULTIUSO EVERSTAR;0;visible;1;notify;58;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;4729;ARROCERA OSTER;0;visible;1;notify;52;2;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;WKRCN15;ARROCERA WESTINGHOUSE;0;visible;1;notify;22;5;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
